time[s],wave[m],surge[m],sway[m],heave[m],roll[deg],pitch[deg],yaw[deg]
7.206,2.366346,1.270711,0.964906,1.882351,0.266785,-2.214083,-0.753113
7.285,2.269389,1.284427,0.989895,1.820813,0.261758,-2.24394,-0.732501
7.364,2.170673,1.297147,1.014117,1.757863,0.256528,-2.272058,-0.711322
7.443,2.070274,1.308861,1.037552,1.69355,0.251099,-2.298413,-0.689591
7.523,1.966967,1.319689,1.060464,1.627085,0.245403,-2.323286,-0.66704
7.602,1.863417,1.329351,1.082262,1.56018,0.239587,-2.346034,-0.64425
7.681,1.758422,1.337983,1.103221,1.492066,0.233584,-2.366963,-0.620961
7.76,1.652062,1.345577,1.123324,1.422794,0.227401,-2.386057,-0.59719
7.839,1.544422,1.352127,1.142556,1.352419,0.221041,-2.4033,-0.572956
7.918,1.435584,1.357629,1.160901,1.280995,0.21451,-2.418679,-0.548277
7.997,1.325632,1.362078,1.178347,1.208578,0.207812,-2.432183,-0.523174
8.076,1.214653,1.365471,1.194879,1.135224,0.200954,-2.4438,-0.497664
8.156,1.101309,1.367828,1.210675,1.060044,0.193849,-2.453633,-0.471439
8.235,0.988522,1.369087,1.22533,0.984976,0.186682,-2.461428,-0.445173
8.314,0.874969,1.369285,1.239034,0.909144,0.179371,-2.467315,-0.418562
8.393,0.760737,1.368421,1.251777,0.832607,0.17192,-2.471287,-0.391627
8.472,0.645914,1.366496,1.263549,0.755425,0.164336,-2.473344,-0.364387
8.551,0.530591,1.36351,1.274342,0.677657,0.156624,-2.473482,-0.336866
8.63,0.414857,1.359468,1.284146,0.599363,0.148791,-2.471702,-0.309082
8.709,0.298801,1.354371,1.292954,0.520604,0.140843,-2.468005,-0.28106
8.789,0.18104,1.34814,1.300852,0.440438,0.132683,-2.462311,-0.25246
8.868,0.064609,1.340934,1.307636,0.360929,0.124521,-2.454766,-0.224021
8.947,-0.051872,1.332688,1.313406,0.28114,0.116263,-2.445318,-0.195408
9.026,-0.168312,1.323408,1.318158,0.201134,0.107914,-2.433973,-0.166644
9.105,-0.284622,1.313103,1.321887,0.120971,0.099482,-2.420741,-0.13775
9.184,-0.400712,1.301779,1.324591,0.040715,0.090972,-2.405631,-0.10875
9.263,-0.51649,1.289445,1.326268,-0.039573,0.082393,-2.388656,-0.079665
9.342,-0.631868,1.276112,1.326916,-0.119831,0.073749,-2.369828,-0.050518
9.422,-0.748207,1.261601,1.326524,-0.201009,0.064937,-2.348889,-0.020963
9.501,-0.862508,1.246287,1.325101,-0.281016,0.056185,-2.326379,0.00824
9.595,-0.997633,1.226807,1.322069,-0.375925,0.045715,-2.297245,0.042977
9.675,-1.111776,1.209166,1.318346,-0.456377,0.036764,-2.270463,0.072504
9.754,-1.223624,1.190802,1.31364,-0.535468,0.027897,-2.242243,0.101606
9.833,-1.334524,1.171515,1.307915,-0.614144,0.019008,-2.212284,0.13063
9.912,-1.444389,1.151319,1.301176,-0.692344,0.010104,-2.18061,0.159552
9.991,-1.553134,1.13023,1.293428,-0.770006,0.001192,-2.147245,0.18835
10.07,-1.660674,1.108265,1.284677,-0.847072,-0.007721,-2.112214,0.217002
10.149,-1.766927,1.08544,1.27493,-0.92348,-0.016627,-2.075545,0.245486
10.228,-1.871809,1.061774,1.264194,-0.999172,-0.025521,-2.037267,0.27378
10.308,-1.976539,1.036969,1.252323,-1.075033,-0.034507,-1.996894,0.302215
10.387,-2.078418,1.011664,1.239623,-1.149106,-0.043354,-1.955467,0.330059
10.466,-2.178685,0.985575,1.225961,-1.222289,-0.052167,-1.912524,0.357647
10.545,-2.277262,0.958722,1.211349,-1.294523,-0.06094,-1.868097,0.384958
10.624,-2.374073,0.931125,1.195797,-1.365754,-0.069666,-1.822222,0.41197
10.703,-2.469043,0.902806,1.179318,-1.435925,-0.078337,-1.774934,0.438662
10.782,-2.562099,0.873787,1.161925,-1.504983,-0.086948,-1.726269,0.465015
10.861,-2.653167,0.844091,1.14363,-1.572874,-0.095492,-1.676265,0.491007
10.941,-2.743291,0.813351,1.1242,-1.64038,-0.104068,-1.624304,0.516939
11.02,-2.830148,0.782361,1.104136,-1.705763,-0.112455,-1.571725,0.542145
11.099,-2.91481,0.750764,1.083215,-1.769823,-0.120756,-1.517926,0.566929
11.178,-2.997211,0.718585,1.061454,-1.832511,-0.128962,-1.462951,0.591274
11.257,-3.077288,0.685848,1.03887,-1.893777,-0.137069,-1.406841,0.615161
11.336,-3.154979,0.65258,1.01548,-1.953575,-0.14507,-1.349639,0.63857
11.415,-3.230223,0.618805,0.991303,-2.011858,-0.152958,-1.291392,0.661485
11.494,-3.302961,0.584551,0.966357,-2.06858,-0.160727,-1.232142,0.683886
11.574,-3.37401,0.549401,0.940331,-2.124385,-0.168468,-1.171169,0.70603
11.653,-3.441538,0.514262,0.913897,-2.177836,-0.17598,-1.110044,0.727347
11.732,-3.506397,0.478724,0.886754,-2.229597,-0.183356,-1.048059,0.748099
11.811,-3.568536,0.442814,0.858924,-2.279629,-0.19059,-0.98526,0.768271
11.89,-3.627908,0.406561,0.830427,-2.327893,-0.197676,-0.921697,0.787848
11.969,-3.684467,0.369993,0.801287,-2.374352,-0.204608,-0.85742,0.806813
12.048,-3.738168,0.333138,0.771525,-2.418969,-0.211382,-0.792477,0.825153
