time series,wave[m],ship_speed_kn,surge[m],sway[m],heave[m],roll[deg],pitch[deg],yaw[deg]
15.044,0.125082,2,0.000062,0.000295,0.000364,-0.000788,0.003832,0.000504
15.264,0.06774,2,-0.000027,0.000214,0.00152,-0.001448,0.006059,0.000345
15.484,0.067108,2,-0.000119,0.000026,0.001494,-0.000809,0.005032,-0.000008
15.672,0.034914,2,-0.000182,-0.0001,0.001025,0.000648,0.002522,-0.000236
15.876,-0.138044,2,-0.000209,-0.000331,0.000654,0.00227,-0.000048,-0.000611
16.081,-0.169523,2,-0.000192,-0.000521,0.000253,0.002681,-0.002215,-0.000889
16.316,-0.133307,2,-0.000125,-0.000244,-0.000378,0.001018,-0.004043,-0.000367
16.489,-0.043734,2,-0.000051,0.000221,-0.000758,-0.000974,-0.00463,0.000432
16.693,-0.001733,2,0.000042,0.000604,-0.000857,-0.002894,-0.004345,0.001082
16.866,0.171804,2,0.000111,0.000577,-0.000534,-0.00327,-0.003116,0.00103
17.039,0.293226,2,0.000161,0.000294,-0.000007,-0.002082,-0.001185,0.000506
17.212,0.141428,2,0.000187,-0.00007,0.000376,0.000249,0.000732,-0.000169
17.416,-0.060785,2,0.000176,-0.000419,0.000449,0.002876,0.002164,-0.000778
17.589,-0.137383,2,0.000127,-0.000563,0.000334,0.003639,0.002562,-0.001004
17.761,-0.087861,2,0.000051,-0.000509,0.000189,0.002635,0.002413,-0.000896
17.934,0.0291,2,-0.000031,-0.000234,0.000023,0.000486,0.001965,-0.000401
18.123,-0.025865,2,-0.000101,0.000223,-0.000181,-0.001764,0.001364,0.000415
18.296,-0.026016,2,-0.000138,0.000553,-0.000312,-0.002778,0.000897,0.000987
18.469,-0.071674,2,-0.000144,0.00057,-0.000253,-0.002584,0.000801,0.001017
18.641,-0.014096,2,-0.00012,0.000273,0.000027,-0.001421,0.001173,0.000524
18.83,-0.045808,2,-0.00007,-0.000103,0.000372,0.000297,0.001548,-0.000134
19.003,-0.033821,2,-0.000015,-0.000213,0.000436,0.001293,0.001133,-0.000386
19.207,0.022719,2,0.000046,-0.000094,0.000087,0.001003,-0.000363,-0.000239
19.38,0.038855,2,0.000084,-0.000005,-0.000364,0.000031,-0.001791,-0.000094
19.568,0.06611,2,0.000102,-0.000011,-0.000659,-0.000636,-0.002691,-0.000088
19.741,0.276041,2,0.000099,-0.000044,-0.000583,-0.000319,-0.00272,-0.000108
19.93,0.165777,2,0.000079,-0.000088,-0.000301,0.000878,-0.002336,-0.000129
20.118,0.073915,2,0.000049,-0.000197,-0.000139,0.002039,-0.002046,-0.000281
20.291,-0.075923,2,0.000011,-0.000325,-0.00016,0.002184,-0.001865,-0.000478
